,Avg Acc,Final Acc,Recall,Precision,Specificity
XG - Dataset 1,61.76,61.76,31.85,62.49,84.6
LR - Dataset 3,61.31,61.31,32.4,62.9,84.6
NN - Dataset 3,61.0,61.28,32.4,62.81,84.54
XG - Dataset 3,61.27,61.27,32.4,62.81,84.54
RF - Dataset 3,61.15,61.15,34.32,61.62,82.77
XG - Dataset 2,61.14,61.14,32.44,62.42,84.26
RF - Dataset 1,61.0,61.0,32.72,61.91,83.78
RF - Dataset 2,61.0,60.98,32.89,61.8,83.61
RF - Dataset 5,60.74,60.74,30.8,62.14,84.88
XG - Dataset 5,60.74,60.74,30.8,62.14,84.88
KNN - Dataset 5,60.74,60.74,30.8,62.14,84.88
KNN - Dataset 1,61.0,60.74,30.59,62.24,85.05
NN - Dataset 5,60.5,60.65,33.45,60.73,82.57
NN - Dataset 4,60.5,60.65,33.45,60.73,82.57
RF - Dataset 4,60.62,60.62,33.66,60.58,82.35
XG - Dataset 4,60.62,60.62,30.8,62.14,84.88
KNN - Dataset 4,60.6,60.6,33.55,60.62,82.43
LR - Dataset 5,60.5,60.5,41.96,57.92,75.44
KNN - Dataset 3,60.5,60.5,32.16,60.82,83.31
LR - Dataset 4,60.45,60.45,40.32,58.21,76.67
LR - Dataset 2,60.0,60.0,35.82,58.35,79.4
KNN - Dataset 2,60.0,60.0,18.7,69.16,93.28
NN - Dataset 1,60.0,59.92,26.61,61.83,86.76
LR - Dataset 1,59.66,59.66,37.67,57.29,77.37
NN - Dataset 2,59.5,59.44,25.64,60.79,86.68
