shot_id,combined_shot_type,period,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,opponent,home_away,time_sec_remaining
2,Jump Shot,1,15,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-01 POR,0,622
3,Jump Shot,1,16,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-01 POR,0,465
4,Jump Shot,1,22,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 POR,0,412
5,Dunk,2,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 POR,0,379
6,Jump Shot,3,14,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-01 POR,0,572
7,Layup,3,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2000-01 POR,0,532
9,Jump Shot,3,12,1.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,2000-01 POR,0,372
10,Jump Shot,3,12,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-01 POR,0,216
11,Jump Shot,3,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2000-01 POR,0,116
12,Jump Shot,1,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 UTA,1,660
13,Jump Shot,1,12,1.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,2000-01 UTA,1,429
14,Jump Shot,1,9,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2000-01 UTA,1,164
15,Jump Shot,1,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2000-01 UTA,1,76
16,Jump Shot,1,20,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,2000-01 UTA,1,48
18,Jump Shot,2,25,1.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2000-01 UTA,1,530
19,Jump Shot,3,16,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-01 UTA,1,689
21,Jump Shot,3,14,0.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,2000-01 UTA,1,608
22,Jump Shot,3,18,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2000-01 UTA,1,544
23,Jump Shot,3,11,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2000-01 UTA,1,477
24,Jump Shot,3,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2000-01 UTA,1,347
